Dialouge ,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,Actor
D (1).wav,2505.561349,273291.6483,4163.362004,305440.4314,0.161793534,0.008279893,0.44746837,0.082283005,0.22660006,0.004505786,117.4538352,-48.80188,6315.192,118.4136,887.60034,-87.40409,496.11258,67.16269,445.70813,-29.331905,387.71893,-2.2259686,192.85077,16.276299,109.14912,-29.295805,162.03818,3.6494188,397.00922,-11.902667,159.96059,-3.6313834,137.97717,10.299967,64.47305,-11.872988,119.01247,7.3029447,72.20978,-4.81865,76.92491,6.0568657,71.55928,-4.091502,57.992065,-8.456772,86.72778,3.9293008,66.56646,-11.872784,66.29157,D
D (2).wav,1096.192348,224106.2055,2257.020601,1031782.047,0.173143004,0.007576691,0.40879947,0.093986444,0.06176324,0.00139162,143.5546875,-133.32921,8591.204,186.11731,1228.831,-26.275772,1724.6035,29.749994,585.97864,10.148685,823.1031,0.19711399,476.17303,16.9977,532.553,-11.300345,269.66766,-11.933869,496.01193,7.704478,176.72954,-6.583037,228.91199,2.009836,147.17064,7.298052,163.82506,-9.725793,191.01714,3.3962445,165.49768,8.65219,170.18593,-17.189348,175.06223,2.2506883,115.208916,6.286182,116.113976,-13.195838,141.52406,D
D (3).wav,1083.615779,67565.9715,2278.790611,436465.6445,0.153476185,0.005304831,0.30437702,0.09219703,0.055194836,0.000284323,107.6660156,-143.67165,5108.3643,186.50414,693.3545,-48.050556,968.481,51.079853,240.42058,5.3135395,486.1122,-12.274229,298.99045,14.542256,201.32219,-15.570481,128.26117,-4.088191,255.28905,-4.512368,133.59145,-9.989918,161.65099,1.6704012,135.64919,1.9678328,96.706154,3.5917993,195.7584,1.4204946,80.89461,8.448724,72.37702,-2.9796438,110.59342,-6.6689553,62.936066,4.282335,69.65838,-8.641368,72.684555,D
D (4).wav,1266.055658,116027.9056,2432.505137,547358.4613,0.141323671,0.0070715,0.29649386,0.0984304,0.075698647,0.000783077,117.4538352,-155.5991,4733.1655,181.01732,1056.5931,-52.349754,928.7649,18.5143,849.2754,7.0033016,590.1652,-16.18391,439.50635,2.8877563,552.5113,-10.151112,219.50531,-14.93571,383.6421,-0.9334012,253.49672,0.9557654,176.51672,0.25054988,159.1023,0.5879921,143.7983,-4.7807627,158.03488,0.01612736,144.26787,-0.6214748,150.78856,-11.27394,200.84233,2.5116434,139.57751,-0.27100155,143.60272,-6.5353584,180.2586,D
D (5).wav,1457.087789,153008.7634,2924.066616,474365.809,0.129057326,0.00767194,0.3712948,0.09281537,0.096235795,0.001139389,92.28515625,-131.80914,8126.9014,173.93806,1410.6031,-67.394135,349.14948,43.975918,482.1817,2.7941253,354.21017,-18.304361,204.50664,21.431301,162.02853,-15.862823,158.87811,-10.225014,244.33775,7.250696,93.650925,-10.040865,77.58232,-0.38687178,90.23113,-1.1132442,48.23503,-7.3444242,103.56035,-1.1290919,78.96744,0.3774167,110.55477,-11.906658,77.33546,-1.391088,47.37005,4.239794,102.26774,-9.833932,75.48504,D
D (6).wav,1119.628546,95779.60165,2191.037853,631835.389,0.104378088,0.006212475,0.3816271,0.0992526,0.077196329,0.001039613,117.4538352,-180.95262,2141.2788,197.36214,576.9261,-36.07411,749.4713,2.1556854,541.9468,9.654015,718.782,-15.796607,522.2996,-0.7272347,538.9186,-6.421478,247.26201,-16.450682,390.2132,-2.7733724,286.22055,-4.0854826,324.62604,-14.179913,156.0336,-3.6777554,186.58795,-5.896695,295.3668,-7.330023,166.27971,-0.07027548,221.15506,-8.797955,234.78038,-2.502581,124.74941,2.8004029,193.81905,-6.911485,158.10771,D
D (7).wav,1311.721843,136990.5785,2722.239614,496827.8642,0.047763313,0.001617609,0.42783496,0.093000345,0.090811186,0.001137265,112.3471467,-276.36847,14594.657,166.29996,2472.4478,-38.119144,865.5509,38.35833,712.3832,4.6362553,632.6508,-11.934625,490.6396,19.296232,284.60638,-13.189304,335.71735,-5.342947,241.13075,13.724359,369.4954,-5.5766797,156.94913,-0.6330115,228.13257,3.0379102,169.69395,-0.58188766,110.44408,-4.61438,133.49171,-6.505958,81.20171,-2.9871032,208.0334,-0.1548829,146.74765,-8.274183,86.38671,-5.8708987,94.33696,D
D (8).wav,1131.219485,82928.53788,2360.982652,321501.6677,0.12000906,0.00581218,0.33893248,0.09032137,0.063043144,0.000529151,103.359375,-172.69173,5658.299,196.37895,971.86774,-47.98285,1027.5392,27.348736,480.32446,21.174124,549.2863,-21.78137,382.44653,5.8864512,270.0395,-4.464332,228.50246,-13.336129,379.5375,8.049854,225.6017,-1.374745,227.65088,-3.063728,125.623665,7.182968,120.48259,-6.769445,156.15257,-1.5191685,119.16861,7.2136064,152.95401,-8.189084,218.20602,3.789576,106.283646,7.51025,90.55271,-8.371734,136.7957,D
D (9).wav,1741.487616,372650.1672,3220.473789,1463444.046,0.067121584,0.002439309,0.32936847,0.09975351,0.073979804,0.001189494,123.046875,-202.5229,12981.7705,105.283516,1764.3237,-20.532656,719.92706,32.87222,377.74384,15.18513,689.0536,-16.133871,340.7196,-17.693647,234.65755,-23.09676,235.52228,-19.76018,187.22707,-1.3844801,89.8935,-15.130514,190.59996,1.9789448,39.805763,-6.694051,67.15325,-9.151335,90.40589,7.7793703,113.79762,-9.814653,98.67891,-11.093478,96.61566,8.802702,94.14877,-12.310831,50.355515,-6.245734,35.195854,D
D (10).wav,1090.182083,110035.4596,2271.312878,562957.399,0.150460999,0.005729906,0.35653308,0.09306406,0.059384047,0.000715059,123.046875,-143.74315,3594.0474,212.60648,1292.2213,-45.792347,1086.0941,27.104591,605.6288,14.679645,456.08765,-3.1900082,605.9625,4.1230063,323.519,-0.31878453,283.88022,2.7402606,434.33926,-4.770243,304.79172,1.5279669,190.0405,-3.557497,152.79887,1.7418247,168.4093,0.08614261,262.90454,-7.309123,172.57706,2.9629354,133.00491,-5.3401885,153.01784,-0.05726124,103.27233,1.051169,126.355316,-7.127191,135.9945,D
